startId,endId,start_lon,start_lat,end_lon,end_lat,WKT
49,50,139.6990535,35.66075722,139.6992099,35.66087579,"LINESTRING(139.6990535 35.66075722,139.6992099 35.66087579)"
50,51,139.6992099,35.66087579,139.6993272,35.66145467,"LINESTRING(139.6992099 35.66087579,139.6993272 35.66145467)"
35,50,139.6995434,35.6607177,139.6992099,35.66087579,"LINESTRING(139.6995434 35.6607177,139.6992099 35.66087579)"
33,35,139.6997251,35.66068283,139.6995434,35.6607177,"LINESTRING(139.6997251 35.66068283,139.6995434 35.6607177)"
33,34,139.6997251,35.66068283,139.6997067,35.66060379,"LINESTRING(139.6997251 35.66068283,139.6997067 35.66060379)"
29,34,139.6993962,35.66062936,139.6997067,35.66060379,"LINESTRING(139.6993962 35.66062936,139.6997067 35.66060379)"
28,29,139.6987913,35.6607177,139.6993962,35.66062936,"LINESTRING(139.6987913 35.6607177,139.6993962 35.66062936)"
33,36,139.6997251,35.66068283,139.6998125,35.66107107,"LINESTRING(139.6997251 35.66068283,139.6998125 35.66107107)"
36,37,139.6998125,35.66107107,139.7001369,35.66137097,"LINESTRING(139.6998125 35.66107107,139.7001369 35.66137097)"
30,34,139.6999804,35.66052939,139.6997067,35.66060379,"LINESTRING(139.6999804 35.66052939,139.6997067 35.66060379)"
30,31,139.6999804,35.66052939,139.7006521,35.66037363,"LINESTRING(139.6999804 35.66052939,139.7006521 35.66037363)"
32,33,139.7006659,35.66051312,139.6997251,35.66068283,"LINESTRING(139.7006659 35.66051312,139.6997251 35.66068283)"
31,32,139.7006521,35.66037363,139.7006659,35.66051312,"LINESTRING(139.7006521 35.66037363,139.7006659 35.66051312)"
31,170,139.7006521,35.66037363,139.7009028,35.66050382,"LINESTRING(139.7006521 35.66037363,139.7009028 35.66050382)"
170,171,139.7009028,35.66050382,139.7008867,35.66032946,"LINESTRING(139.7009028 35.66050382,139.7008867 35.66032946)"
32,171,139.7006659,35.66051312,139.7008867,35.66032946,"LINESTRING(139.7006659 35.66051312,139.7008867 35.66032946)"
32,170,139.7006659,35.66051312,139.7009028,35.66050382,"LINESTRING(139.7006659 35.66051312,139.7009028 35.66050382)"
31,171,139.7006521,35.66037363,139.7008867,35.66032946,"LINESTRING(139.7006521 35.66037363,139.7008867 35.66032946)"
32,38,139.7006659,35.66051312,139.7006406,35.66099203,"LINESTRING(139.7006659 35.66051312,139.7006406 35.66099203)"
37,38,139.7001369,35.66137097,139.7006406,35.66099203,"LINESTRING(139.7001369 35.66137097,139.7006406 35.66099203)"
38,48,139.7006406,35.66099203,139.7006153,35.66125241,"LINESTRING(139.7006406 35.66099203,139.7006153 35.66125241)"
45,48,139.7002588,35.66148954,139.7006153,35.66125241,"LINESTRING(139.7002588 35.66148954,139.7006153 35.66125241)"
37,45,139.7001369,35.66137097,139.7002588,35.66148954,"LINESTRING(139.7001369 35.66137097,139.7002588 35.66148954)"
47,48,139.7006774,35.66213119,139.7006153,35.66125241,"LINESTRING(139.7006774 35.66213119,139.7006153 35.66125241)"
47,116,139.7006774,35.66213119,139.7009235,35.66209631,"LINESTRING(139.7006774 35.66213119,139.7009235 35.66209631)"
115,116,139.7009028,35.66230787,139.7009235,35.66209631,"LINESTRING(139.7009028 35.66230787,139.7009235 35.66209631)"
112,115,139.7006751,35.66236134,139.7009028,35.66230787,"LINESTRING(139.7006751 35.66236134,139.7009028 35.66230787)"
47,112,139.7006774,35.66213119,139.7006751,35.66236134,"LINESTRING(139.7006774 35.66213119,139.7006751 35.66236134)"
46,47,139.7003232,35.66220325,139.7006774,35.66213119,"LINESTRING(139.7003232 35.66220325,139.7006774 35.66213119)"
45,46,139.7002588,35.66148954,139.7003232,35.66220325,"LINESTRING(139.7002588 35.66148954,139.7003232 35.66220325)"
44,45,139.6994008,35.66226835,139.7002588,35.66148954,"LINESTRING(139.6994008 35.66226835,139.7002588 35.66148954)"
44,46,139.6994008,35.66226835,139.7003232,35.66220325,"LINESTRING(139.6994008 35.66226835,139.7003232 35.66220325)"
43,44,139.6992122,35.66228927,139.6994008,35.66226835,"LINESTRING(139.6992122 35.66228927,139.6994008 35.66226835)"
43,97,139.6992122,35.66228927,139.6993433,35.66246828,"LINESTRING(139.6992122 35.66228927,139.6993433 35.66246828)"
44,97,139.6994008,35.66226835,139.6993433,35.66246828,"LINESTRING(139.6994008 35.66226835,139.6993433 35.66246828)"
44,96,139.6994008,35.66226835,139.699157,35.66245898,"LINESTRING(139.6994008 35.66226835,139.699157 35.66245898)"
96,97,139.699157,35.66245898,139.6993433,35.66246828,"LINESTRING(139.699157 35.66245898,139.6993433 35.66246828)"
